contract_id,name,symbol,decimals,coingecko,cryptocompare,protocol
SM3VDXK3WZZSA84XXFKAFAF15NNZX32CTSG82JFQ4.sbtc-token,sBTC,sBTC,8,sbtc-2,,sbtc
SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.sbtc-token,sBTC,sBTC,8,sbtc-2,,sbtc
SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,Stacked STX,stSTX,6,stacking-dao,,stackingdao
SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststxbtc-token,Stacked STX BTC (v1),stSTXBTC,6,stacking-dao-stacked-stacks-btc,,stackingdao
SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststxbtc-token-v2,Stacked STX BTC,stSTXBTC,6,stacking-dao-stacked-stacks-btc,,stackingdao
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zststx-token,Zest stSTX,zstSTX,6,,,zest
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zststxbtc-v2-token,Zest stSTXBTC,zstSTXBTC,6,,,zest
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-token,Zest sBTC,zsBTC,8,,,zest
SP3Y2ZSH8P7D50B0VBTSX11S7XSG24M1VB9YFQA4K.token-aeusdc,Allbridge USDC,aeUSDC,6,allbridge-bridged-usdc-stacks,,allbridge
SP120SBRBQJ00MCWS7TM5R8WJNTTKD5K0HFRC2CNE.usdcx,USDCx,USDCx,6,usdcx-stacks,,circle
SP102V8P0F7JX67ARQ77WEA3D3CFB5XW39REDT0AM.token-alex,ALEX,ALEX,8,alexgo,,alex
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.velar-token,Velar,VELAR,6,velar,,velar
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.usda-token,USDA,USDA,6,arkadiko-usda,,arkadiko
SP3DX3H4FEYZJZ586MFBS25ZW3HZDMEW92260R2PR.Wrapped-Bitcoin,Wrapped Bitcoin,xBTC,8,wrapped-bitcoin-stacks,,
SPN5AKG35QZSK2M8GAMR4AFX45659RJHDW353HSG.usdh-token-v1,USDh,USDh,8,hermetica-usdh,,hermetica
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-token,Arkadiko,DIKO,6,arkadiko-protocol,,arkadiko
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.wstx,Wrapped STX,WSTX,6,wrapped-stx-velar,,velar
SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.token-susdt,sUSDT,sUSDT,8,alex-wrapped-usdt,,alex
SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.token-abtc,aBTC,aBTC,8,xlink-bridged-btc-stacks,,xlink
SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.token-slunr,LunarCrush,sLUNR,8,lunr-token,,alex
SP3NE50GEXFG9SZGTT51P40X2CKYSZ5CC4ZTZ7A2G.welshcorgicoin-token,Welshcorgicoin,WELSH,6,welsh-corgi-coin,,
SP1AY6K3PQV5MRT6R4S671NWW2FRVPKM0BR162CT6.leo-token,LEO,LEO,6,leopold,,
SP3M31QFF6S96215K4Y2Z9K5SGHJN384NV6YM6VM8.satoshai,SatoshAI,SAI,6,satoshai,,
SP32AEEF6WW5Y0NMJ1S8SBSZDAY8R5J32NBZFPKKZ.nope,Nothing,NOT,0,nothing-3,,
SP1JFFSYTSH7VBM54K29ZFS9H4SVB67EA8VT2MYJ9.gus-token,GUS,GUS,6,gus,,
SP3W69VDG9VTZNG7NTW1QNCC1W45SNY98W1JSZBJH.flat-earth-stxcity,Flat Earth,FLAT,6,flat-earth,,
SP3BRXZ9Y7P5YP28PSR8YJT39RT51ZZBSECTCADGR.skullcoin-stxcity,Skullcoin,SKULL,6,skullcoin,,
SP25K3XPVBNWXPMYDXBPSZHGC8APW0Z21CWJ3Y3B1.wen-nakamoto-stxcity,WEN,WEN,6,wen-5,,
SP2C1WREHGM75C7TGFAEJPFKTFTEGZKF6DFT6E2GE.kangaroo,Kangaroo,$ROO,6,kangaroo-the-jumping-co-in,,
SP2EEV5QBZA454MSMW9W3WJNRXVJF36VPV17FFKYH.DROID,Droid,DROID,6,droid,,
SP2TT71CXBRDDYP2P8XMVKRFYKRGSMBWCZ6W6FDGT.notastrategy,NotaStrategy,NASTY,7,notastrategy,,
SPV9K21TBFAK4KNRJXF5DFP8N7W46G4V9RCJDC22.b-faktory,Blocks,B,6,blocks-2,,
SPN5AKG35QZSK2M8GAMR4AFX45659RJHDW353HSG.susdh-token-v1,Staked USDh,sUSDh,8,,,hermetica
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zusdh-token,Zest USDh,zUSDh,8,,,zest
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-pool-aeusdc-usdh-v-1-2,Bitflow aeUSDC-USDh LP,BF-aeUSDC-USDh,6,,,bitflow
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-pool-sbtc-pbtc-v-1-1,Bitflow sBTC-pBTC LP,BF-sBTC-pBTC,8,,,bitflow
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-stx-aeusdc-v-1-2,Bitflow STX-aeUSDC LP,BF-STX-aeUSDC,6,,,bitflow
SP14NS8MVBRHXMM96BQY0727AJ59SWPV7RMHC0NCG.pontis-bridge-pBTC,Pontis BTC,pBTC,8,,,pontis
SP1H1733V5MZ3SZ9XRW9FKYGEZT0JDGEB8Y634C7R.miamicoin-token-v2,MiamiCoin,MIA,6,miamicoin,,citycoin
SP6VJ9Z094TQ1NQB4GNHK3VZGZGKABCVY3DRJ5YE.miamicoin-token,MiamiCoin,MIA,6,miamicoin,,citycoin
SPSCWDV3RKV5ZRN1FQD84YE1NQFEDJ9R1F4DYQ11.newyorkcitycoin-token-v2,NewYorkCityCoin,NYC,6,newyorkcoin,,citycoin
SP3G437RF2PAM7VT3PJ3FYDCDYRKKBJHABDMGVS6V.bitflow,Bitflow,BITFLOW,6,,,bitflow
SP1MR5NKZPJX9CGYPH6YKBHAKK3JM581F1A35JXP6.sbtcdao,sBTC DAO,sBTCDAO,6,,,sbtc
SP2EXJYQG612FXBH0J2800K2HHD3Z9P1J48WW39V6.corgi,Corgi,CORGI,6,,,
SP1PW804599BZ46B4A0FYH86ED26XPJA7SFYNK1XS.play,Play,PLAY,6,,,
SP2PF4VYW8B62TASG7AKFESQ04CKTWM21X09PY837.moscow-city-coin-stxcity,Moscow City Coin,MOSCOW,6,,,
SP37WN2BYHKZ90T1ATHTCNG8EFYHS3B49KNGS02ZK.RALEX,RALEX,RALEX,8,,,alex
SP3HNEXSXJK2RYNG5P6YSEE53FREX645JPJJ5FBFA.meme-stxcity,Meme,MEME,6,,,
SP6TNST5EKBSTGKBR0R95AF01HPW5747FYRBHKXT.trump-meme,Trump Meme,TRUMP,6,,,
SP1T0VY3DNXRVP6HBM75DFWW0199CR0X15PC1D81B.teiko-token-stxcity,Teiko,TEIKO,6,,,
SP14XEKF7G8Q4WFYBSE77XSDMM67GTVF95R4V680.pixelstacks,PixelStacks,PIXEL,6,,,
SPV9K21TBFAK4KNRJXF5DFP8N7W46G4V9RCJDC22.fakfun-faktory,FakFun,FAKFUN,6,,,faktory
SP2YKJXBBS2E6GSN2W4CBM3DJ8K4Q4RB4NYBR3C3Q.bitflow-tokens,Bitflow Tokens,BFT,6,,,bitflow
SP1KNRNZET8ZC5Q9P6F1FFW8YQH45CKMNY132B36S.ned2gsk-bonding-curve,Ned2GSK,NED2GSK,6,,,faktory
